split,image_id,file_name,source_split,source_file_name,source_group,sha256,positive,annotations,small_boxes,medium_boxes,large_boxes
train,1,aircraft_surface_damage_crack_v2_0000001.jpg,train,000616_NewConstruction_jpg.rf.563a597c19a25b006bb74a912f124cde.jpg,000616_newconstruction,4afd6f5d4b930b873d1cafac88303207bf7738e7514773b2c06acd6772fbe7e7,1,1,0,1,0
train,2,aircraft_surface_damage_crack_v2_0000002.jpg,train,000616_NewConstruction_jpg.rf.6a32c22ce513e34cff6b2d4be7c7692d.jpg,000616_newconstruction,a4a4fc567f5a577e011f96e658e912bda27bb84bce04da503560c558359aa0d8,1,1,0,0,1
train,3,aircraft_surface_damage_crack_v2_0000003.jpg,train,000616_NewConstruction_jpg.rf.f8a9129a0f1e40adc1805e47cadef311.jpg,000616_newconstruction,c992ac73d8755670866e1f3cad45c77233b0f9375a376729257da972f4ba6b58,1,1,0,0,1
train,4,aircraft_surface_damage_crack_v2_0000004.jpg,train,02__Crack_in_Between_Rotor_Seating_Areas-_Approx__Length_60mm_x_Thickness_12_5mm_jpg.rf.5b6908332f79b987a152aa1d3dd9c2de.jpg,02__crack_in_between_rotor_seating_areas-_approx__length_60mm_x_thickness_12_5mm,a64de41dbfc8979d6b940cc91fd4e27d60823085febba0453f59a680b195fc6e,1,1,0,0,1
train,5,aircraft_surface_damage_crack_v2_0000005.jpg,train,02__Crack_in_Between_Rotor_Seating_Areas-_Approx__Length_60mm_x_Thickness_12_5mm_jpg.rf.88b402d406663e307e4aa3a4157d3c27.jpg,02__crack_in_between_rotor_seating_areas-_approx__length_60mm_x_thickness_12_5mm,f9e82f848db55b7faccd7eede164254277bb7e588a8da496b94f4b8717489ce0,1,1,0,0,1
train,6,aircraft_surface_damage_crack_v2_0000006.jpg,train,02__Crack_in_Between_Rotor_Seating_Areas-_Approx__Length_60mm_x_Thickness_12_5mm_jpg.rf.8c0a356b5eb634f38081fcc25bf583b1.jpg,02__crack_in_between_rotor_seating_areas-_approx__length_60mm_x_thickness_12_5mm,acd6c0f4bfb1976aa65836ead6b17b7b92416ad3e623541ef0dce7adddd018ed,1,1,0,0,1
train,7,aircraft_surface_damage_crack_v2_0000007.jpg,train,1020171150b_jpg.rf.3cd9329a3d114c0dbf75969a921b7e4b.jpg,1020171150b,f76badee412f702ffecf1e2e1c9f1625de446c6c08f7b865817f4e12594c6396,1,1,0,0,1
train,8,aircraft_surface_damage_crack_v2_0000008.jpg,train,1020171150b_jpg.rf.7b3eba5f47c4da7cd667488004d79a80.jpg,1020171150b,c7326f9d6414ba72873af3ffdaf004dca59501df00f155399d1b6b6ba0decd6c,1,1,0,0,1
train,9,aircraft_surface_damage_crack_v2_0000009.jpg,train,1020171150b_jpg.rf.b25f65dfd2f50b9c4faf5d65347441ba.jpg,1020171150b,055828e7210cf4a4eb64ea27c10fec858b0de18f46892347ad9c74fadbfbf205,1,1,0,0,1
train,10,aircraft_surface_damage_crack_v2_0000010.jpg,train,1107219108_IMG_71212-jpg-7987f07b87d64ea21995d43aeac48a90_jpg.rf.77a022593ac481ed256b1ca9ece3a015.jpg,1107219108_img_71212-jpg-7987f07b87d64ea21995d43aeac48a90,87abf6dc2c86c8956fdd9444eb7bdd1297780f0a6b8f4c609d3988cdbeca5f18,0,0,0,0,0
